,Time,Value
0,2021-4-0,4.42
1,2021-4-1,3.17
2,2021-4-2,1.72
3,2021-4-3,1.07
4,2021-4-4,0.86
5,2021-4-5,0.83
6,2021-4-6,0.86
7,2021-4-7,1.06
8,2021-4-8,1.65
9,2021-4-9,2.66
10,2021-4-10,3.88
11,2021-4-11,5.0
12,2021-4-12,5.0
13,2021-4-13,5.0
14,2021-4-14,5.0
15,2021-4-15,5.0
16,2021-4-16,4.73
17,2021-4-17,3.41
18,2021-4-18,2.28
19,2021-4-19,1.79
20,2021-4-20,1.76
21,2021-4-21,1.8
22,2021-4-22,2.21
23,2021-4-23,3.09
24,2021-4-24,4.34
25,2021-4-25,5.0
26,2021-4-26,5.0
27,2021-4-27,5.0
28,2021-4-28,5.0
29,2021-4-29,5.0
